epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.308,1.03958,1.79196,1.18205,0.55685,0.42625,0.45096,0.31037,1.10664,1.57237,1.41676,0.00041088,0.00041088,0.00041088
2,655.441,1.03652,1.17124,1.17619,0.47872,0.33337,0.34605,0.23996,1.3479,1.82707,1.59646,0.000811161,0.000811161,0.000811161
3,990.024,1.11784,1.21122,1.23107,0.46613,0.34936,0.31279,0.21622,1.34609,2.33729,1.54515,0.00119494,0.00119494,0.00119494
4,1312.73,1.09808,1.20296,1.22392,0.81189,0.31835,0.3704,0.2463,1.29382,1.71459,1.49441,0.00117575,0.00117575,0.00117575
5,1641.59,1.08671,1.16361,1.21203,0.59294,0.40236,0.45239,0.29623,1.13836,1.47281,1.40057,0.001151,0.001151,0.001151
6,1970.51,1.0586,1.08096,1.202,0.48187,0.49673,0.54697,0.37782,1.11059,1.32063,1.39773,0.00112625,0.00112625,0.00112625
7,2300,1.02341,1.03756,1.16847,0.86088,0.35895,0.51911,0.32766,1.17721,1.53103,1.50048,0.0011015,0.0011015,0.0011015
8,2636.41,1.00044,0.99199,1.15662,0.46099,0.53545,0.49252,0.32609,1.10122,1.35266,1.35817,0.00107675,0.00107675,0.00107675
9,2967.55,0.99741,0.99112,1.16315,0.58485,0.47232,0.48988,0.32947,1.08869,1.25685,1.38646,0.001052,0.001052,0.001052
10,3293.1,0.99528,0.98949,1.15694,0.67479,0.47071,0.4696,0.32486,1.06691,1.28566,1.31976,0.00102725,0.00102725,0.00102725
11,3624.63,0.96961,0.92334,1.13445,0.81386,0.42614,0.51942,0.37642,1.08889,1.3117,1.31567,0.0010025,0.0010025,0.0010025
12,3949.5,0.94059,0.89405,1.12751,0.71452,0.41492,0.5586,0.38616,1.02975,1.16914,1.39461,0.00097775,0.00097775,0.00097775
13,4285.39,0.93283,0.87078,1.11847,0.76924,0.42715,0.53469,0.35392,0.99874,1.19405,1.3058,0.000953,0.000953,0.000953
14,4618.43,0.92051,0.87099,1.1137,0.64011,0.52262,0.57379,0.40943,1.03372,1.16692,1.28941,0.00092825,0.00092825,0.00092825
15,4958.21,0.93969,0.90467,1.13044,0.59409,0.51137,0.57008,0.40724,1.00285,1.10084,1.30428,0.0009035,0.0009035,0.0009035
16,5291.32,0.90227,0.81225,1.08202,0.72432,0.59289,0.6579,0.47678,0.99369,1.00122,1.30125,0.00087875,0.00087875,0.00087875
17,5634.95,0.89398,0.83249,1.10773,0.67851,0.55593,0.60033,0.44064,0.96916,1.02464,1.25294,0.000854,0.000854,0.000854
18,5962.82,0.88963,0.7952,1.09218,0.66713,0.53537,0.62739,0.44016,0.94091,0.98525,1.22306,0.00082925,0.00082925,0.00082925
19,6302.67,0.87819,0.78789,1.0844,0.80052,0.47193,0.5592,0.39725,0.97164,0.99895,1.24357,0.0008045,0.0008045,0.0008045
20,6636.15,0.8632,0.77039,1.08164,0.55117,0.62832,0.66472,0.48168,0.97937,0.99554,1.2837,0.00077975,0.00077975,0.00077975
21,6965.27,0.86301,0.75106,1.07483,0.74089,0.52161,0.64469,0.45994,0.9537,1.00792,1.25412,0.000755,0.000755,0.000755
22,7299.48,0.86985,0.77772,1.08915,0.86404,0.52954,0.67006,0.501,0.92151,0.94941,1.21474,0.00073025,0.00073025,0.00073025
23,7628.22,0.84134,0.70345,1.0598,0.71715,0.62085,0.67764,0.51687,0.93252,0.92678,1.20721,0.0007055,0.0007055,0.0007055
24,7955.12,0.84271,0.73297,1.07064,0.77656,0.60452,0.69833,0.47555,0.92432,0.9715,1.21695,0.00068075,0.00068075,0.00068075
25,8234.4,0.83034,0.71766,1.06135,0.78305,0.52929,0.63956,0.48224,0.92279,0.97043,1.22227,0.000656,0.000656,0.000656
26,8503.38,0.81959,0.68943,1.04769,0.7358,0.65164,0.69592,0.49629,0.89395,0.91979,1.21643,0.00063125,0.00063125,0.00063125
27,8787.2,0.78667,0.66354,1.0408,0.60992,0.66539,0.67152,0.50044,0.93868,0.88294,1.22652,0.0006065,0.0006065,0.0006065
28,8918.81,0.81085,0.67009,1.05512,0.65755,0.64321,0.70451,0.52033,0.90909,0.89965,1.20743,0.00058175,0.00058175,0.00058175
29,9053.25,0.80016,0.65095,1.04294,0.78806,0.59304,0.66416,0.52326,0.88139,0.94063,1.18908,0.000557,0.000557,0.000557
30,9187.34,0.78667,0.6552,1.04321,0.69564,0.63385,0.65054,0.50567,0.89712,0.91821,1.19091,0.00053225,0.00053225,0.00053225
31,9323.38,0.78102,0.62182,1.03115,0.67702,0.63046,0.70556,0.5487,0.89406,0.89566,1.17442,0.0005075,0.0005075,0.0005075
32,9457.93,0.77205,0.61129,1.0283,0.79995,0.53735,0.65931,0.50793,0.88693,0.92187,1.17235,0.00048275,0.00048275,0.00048275
33,9588.1,0.75227,0.58453,1.00614,0.71824,0.60471,0.66851,0.50721,0.87755,0.89555,1.1815,0.000458,0.000458,0.000458
34,9719.87,0.75078,0.57139,1.00952,0.64066,0.70522,0.71774,0.55696,0.8563,0.84152,1.17989,0.00043325,0.00043325,0.00043325
35,9850.96,0.74505,0.57111,1.00165,0.78658,0.61507,0.71461,0.54808,0.8756,0.84537,1.18576,0.0004085,0.0004085,0.0004085
36,9982.11,0.72456,0.5531,1.00266,0.8077,0.59675,0.73701,0.5606,0.85544,0.81652,1.15608,0.00038375,0.00038375,0.00038375
37,10309.8,0.74414,0.57754,1.01119,0.79047,0.63541,0.74504,0.53574,0.87105,0.86747,1.16703,0.000359,0.000359,0.000359
38,10656.6,0.73268,0.557,1.00386,0.74978,0.70118,0.72864,0.55654,0.86785,0.81731,1.1767,0.00033425,0.00033425,0.00033425
39,11002.5,0.72371,0.55337,1.01428,0.68253,0.72011,0.71468,0.54726,0.8486,0.85665,1.17416,0.0003095,0.0003095,0.0003095
40,11349.8,0.71055,0.53051,0.99544,0.85372,0.61238,0.71755,0.56307,0.8218,0.84703,1.13954,0.00028475,0.00028475,0.00028475
41,11725.3,0.69278,0.50594,0.99664,0.67004,0.65999,0.69886,0.53848,0.8464,0.86749,1.16135,0.00026,0.00026,0.00026
42,12064.6,0.67898,0.46052,0.98163,0.7697,0.64764,0.6882,0.52368,0.85274,0.91742,1.20722,0.00023525,0.00023525,0.00023525
43,12403.8,0.67818,0.467,0.99024,0.73537,0.64988,0.68959,0.53312,0.83771,0.86729,1.14932,0.0002105,0.0002105,0.0002105
44,12741.2,0.66781,0.45315,0.97606,0.76473,0.63484,0.69711,0.54494,0.81617,0.87791,1.14653,0.00018575,0.00018575,0.00018575
45,13072.1,0.63838,0.42398,0.9565,0.77856,0.62157,0.68656,0.54578,0.82964,0.91094,1.15808,0.000161,0.000161,0.000161
46,13409.2,0.64737,0.43027,0.95339,0.76569,0.65414,0.69549,0.5469,0.81965,0.8802,1.13636,0.00013625,0.00013625,0.00013625
47,13739.5,0.63069,0.40749,0.94715,0.74198,0.63093,0.69375,0.55517,0.81014,0.86801,1.14754,0.0001115,0.0001115,0.0001115
48,14076.8,0.61771,0.38041,0.94378,0.74571,0.61837,0.69123,0.5413,0.81761,0.88667,1.15105,8.675e-05,8.675e-05,8.675e-05
49,14408.6,0.62279,0.39165,0.94316,0.7766,0.62522,0.71484,0.57101,0.80932,0.86153,1.14474,6.2e-05,6.2e-05,6.2e-05
50,14738.6,0.60478,0.37539,0.93711,0.71056,0.65929,0.69893,0.55456,0.80404,0.85633,1.14258,3.725e-05,3.725e-05,3.725e-05
